iter	Passed	Remaining
0	60	60739
1	61	30484
2	61	20426
3	61	15369
4	62	12350
5	62	10347
6	62	8899
7	63	7814
8	63	6970
9	63	6296
10	63	5744
11	64	5281
12	64	4889
13	64	4553
14	64	4262
15	65	4007
16	65	3783
17	65	3584
18	65	3405
19	66	3246
20	66	3099
21	66	2967
22	67	2847
23	67	2739
24	67	2638
25	67	2543
26	68	2456
27	68	2379
28	68	2306
29	69	2237
30	69	2172
31	69	2109
32	69	2050
33	70	1995
34	70	1943
35	70	1894
36	70	1847
37	71	1803
38	71	1760
39	71	1720
40	71	1682
41	72	1645
42	72	1612
43	72	1580
44	72	1548
45	73	1518
46	73	1489
47	73	1462
48	73	1436
49	74	1410
50	74	1386
51	74	1362
52	74	1339
53	75	1317
54	75	1296
55	75	1275
56	75	1256
57	76	1237
58	76	1219
59	76	1201
60	76	1183
61	77	1167
62	77	1150
63	77	1135
64	77	1119
65	78	1105
66	78	1091
67	78	1078
68	78	1064
69	79	1051
70	79	1039
71	79	1026
72	79	1014
73	80	1002
74	80	990
75	80	979
76	80	968
77	81	957
78	81	947
79	81	936
80	81	927
81	81	917
82	82	906
83	82	897
84	82	888
85	82	879
86	82	870
87	83	861
88	83	853
89	83	845
90	83	837
91	84	829
92	84	822
93	84	814
94	84	807
95	84	800
96	85	793
97	85	786
98	85	780
99	85	773
100	86	766
101	86	760
102	86	754
103	86	748
104	87	742
105	87	736
106	87	730
107	87	725
108	88	720
109	88	714
110	88	709
111	88	704
112	89	698
113	89	694
114	89	689
115	89	684
116	89	679
117	90	674
118	90	669
119	90	665
120	90	660
121	91	655
122	91	651
123	91	647
124	91	643
125	92	639
126	92	634
127	92	630
128	92	626
129	93	623
130	93	619
131	93	615
132	93	611
133	94	608
134	94	604
135	94	600
136	94	597
137	95	593
138	95	590
139	95	586
140	95	583
141	95	579
142	96	576
143	96	573
144	96	570
145	96	567
146	97	563
147	97	560
148	97	557
149	97	554
150	98	551
151	98	548
152	98	545
153	98	543
154	99	540
155	99	537
156	99	534
157	99	531
158	100	529
159	100	526
160	100	523
161	100	520
162	100	518
163	101	515
164	101	513
165	101	510
166	101	508
167	102	505
168	102	503
169	102	501
170	102	498
171	103	496
172	103	494
173	103	492
174	103	489
175	104	487
176	104	485
177	104	483
178	104	480
179	105	478
180	105	476
181	105	474
182	105	472
183	106	470
184	106	468
185	106	466
186	106	464
187	107	462
188	107	460
189	107	458
190	107	456
191	107	454
192	108	452
193	108	450
194	108	448
195	108	446
196	109	444
197	109	443
198	109	441
199	109	439
200	110	437
201	110	435
202	110	434
203	110	432
204	111	430
205	111	429
206	111	427
207	111	425
208	112	424
209	112	422
210	112	420
211	112	419
212	113	417
213	113	416
214	113	414
215	113	412
216	114	411
217	114	409
218	114	408
219	114	406
220	115	405
221	115	403
222	115	402
